AT,V,AP,RH
21.92,49.02,1009.29,88.56
11.09,40.43,1025.47,74.97
8.49,39.61,1021.05,87.74
11.43,44.78,1013.43,82.45
17.28,39.99,1007.09,74.25
32.0,73.17,1009.92,42.47
30.75,71.25,1000.07,65.47
26.25,66.56,1008.29,60.65
26.82,69.05,1004.62,40.0
18.59,43.14,1011.92,52.63
23.03,65.12,1016.29,69.8
23.25,70.32,1009.28,86.52
10.33,40.62,1017.41,64.22
24.45,66.49,1014.24,58.15
25.72,66.86,1007.47,69.14
18.82,61.27,1019.5,72.23
21.28,70.72,1010.29,86.22
12.02,41.92,1030.1,84.45
20.92,49.15,1021.15,49.76
15.75,36.99,1007.67,93.8
22.89,62.39,1007.84,88.16
25.74,63.73,1010.88,70.87
25.33,71.73,1009.78,77.78
15.26,46.18,1013.68,98.58
25.42,59.04,1011.98,68.78
9.46,42.28,1008.67,78.16
20.24,58.41,1013.73,99.59
17.92,44.2,1018.97,53.8
23.96,51.3,1011.81,71.81
10.32,41.01,1021.04,95.3
27.62,68.27,1008.04,63.04
13.08,43.14,1019.39,99.74
10.98,41.54,1019.94,69.83
7.94,42.02,1006.22,90.97
26.82,65.27,1013.6,53.85
23.54,65.27,1013.78,64.28
16.24,41.93,1021.66,44.91
15.29,25.88,1009.21,66.0
18.85,41.1,1001.95,61.75
6.19,41.31,1002.48,88.8
19.64,46.33,1013.33,98.99
26.2,71.73,1010.14,76.14
12.29,42.18,1016.53,83.13
8.25,37.49,1009.02,81.09
19.48,39.72,1001.75,55.41
17.33,53.16,1013.16,82.93
28.03,60.23,1010.23,66.04
23.42,73.17,1012.07,88.39
10.38,41.01,1020.8,94.26
9.93,41.62,1013.76,96.02
13.42,48.04,1011.63,99.32
11.2,41.38,1021.65,61.89
25.23,61.86,1013.0,76.18
29.17,73.17,1009.87,60.97
22.69,54.2,1012.92,65.55
7.07,37.49,1010.35,87.19
14.26,43.34,1017.24,81.54
12.97,40.75,1016.05,79.67
28.65,70.32,1008.46,58.13
28.69,67.25,1017.71,53.83
13.19,44.88,1017.61,94.95
26.17,59.92,1010.01,73.75
8.48,40.05,1015.89,90.25
17.37,58.49,1012.2,91.14
28.79,70.79,1003.83,65.9
25.64,63.87,1017.14,49.25
29.4,57.19,1008.34,53.95
22.46,58.33,1013.21,68.68
26.55,73.67,1005.74,79.41
19.65,62.1,1019.46,77.82
25.97,70.32,1007.48,57.01
9.08,36.18,1020.24,68.37
31.92,75.33,1001.81,61.97
19.72,66.51,1015.07,74.7
23.86,74.93,1016.88,71.44
22.65,57.85,1012.6,68.52
